종목명,코드,시장,섹터,현재가,갭일,갭후일수,갭크기%,거래량배수,갭시가,갭저가,박스고점,박스저점,횡보주,횡보폭%,6개월고점,성곽돌파,완전돌파,갭유지,갭시가대비%,박스위%,막돌파,사상최고가,최고가대비%,52주고점대비%,신규상장,상대강도,갭점수,연속일,NEW,투자포인트,소개
TSE8418,8418.T,JP,미분류,3443.0,2026-09-18,0,2.15,4.18,3326.0,3293.0,3307.0,2563.5,19.0,29.0,3307.0,True,False,True,3.52,4.11,True,3443.0,0.0,0.0,False,78.0,64.0,1,True,- · 박스 19주 · 폭 29% · 주가강도 78점,-
TSE7180,7180.T,JP,미분류,1678.0,2026-09-18,0,3.38,2.3,1680.0,1641.5,1649.0,1299.0,18.0,26.9,1649.0,True,False,True,-0.12,1.76,True,1687.0,-0.5,0.5,False,78.0,50.0,1,True,- · 박스 18주 · 폭 27% · 주가강도 78점,-
CMB.TECH NV Ordinary Shares,CMBT,US,에너지,20.29,2026-09-17,1,3.66,1.59,20.38,20.31,19.97,15.49,7.0,28.9,19.97,True,True,True,-0.44,1.6,True,21.26,-4.6,2.5,False,89.0,56.0,6,False,석유·가스 수송 중형주 · 시총 56억달러 · ROE 30% · 박스 7주 · 폭 29% · 완전돌파 · 주가강도 상위 11%,석유·가스 수송
NICHIDEN CORP,9902.T,JP,산업재,3275.0,2026-09-17,1,2.04,1.62,3255.0,3255.0,3245.0,2527.0,11.0,28.4,3245.0,True,True,True,0.61,0.92,True,3830.0,-14.5,1.5,False,63.0,48.0,4,False,산업재 유통 소형주 · 시총 955억엔 · ROE 6% · 박스 11주 · 폭 28% · 완전돌파 · 주가강도 63점,산업재 유통
GLOBAL SECURITY EXPERTS INC,4417.T,JP,기술·IT,5720.0,2026-09-15,3,4.97,3.84,5170.0,5110.0,5060.0,4030.0,8.0,25.6,5060.0,True,True,True,10.64,13.04,True,5930.0,-3.5,3.5,False,92.0,68.0,6,False,기술·IT 소형주 · 시총 781억엔 · ROE 41% · 박스 8주 · 폭 26% · 완전돌파 · 주가강도 상위 8% (최상위권),기술·IT
"Frequency Electronics, Inc. - Common S",FEIM,US,기술·IT,85.53,2026-09-11,5,33.13,4.86,82.62,78.32,80.6,55.89,7.0,44.2,80.6,True,False,True,3.52,6.12,True,89.76,-4.7,4.7,False,92.0,73.0,6,False,통신장비 소형주 · 시총 10억달러 · 분기이익 +486% 급증 · 박스 7주 · 폭 44% · 주가강도 상위 8% (최상위권),통신장비
KAKAKU.COM. INC,2371.T,JP,통신·미디어,3835.0,2026-09-11,5,3.46,1.62,3823.0,3772.0,3740.0,3201.0,17.0,16.8,3740.0,True,True,True,0.31,2.54,True,3915.0,-2.0,0.9,False,80.0,70.0,6,False,"인터넷 콘텐츠 중형주 · 시총 7,510억엔 · ROE 31% · 박스 17주 · 폭 17% · 완전돌파 · 주가강도 상위 20%",인터넷 콘텐츠
TSE1671,1671.T,JP,미분류,6131.0,2026-09-11,5,7.77,3.19,6213.0,6058.0,5864.0,4591.0,8.0,27.7,6008.0,True,True,True,-1.32,4.55,True,7140.0,-14.1,3.5,False,85.0,67.0,6,False,- · 박스 8주 · 폭 28% · 완전돌파 · 주가강도 상위 15%,-
Mistras Group Inc Common Stock,MG,US,미분류,20.75,2026-09-18,0,4.13,11.47,20.66,20.65,20.4,17.33,5.0,17.7,20.4,True,True,True,0.44,1.72,False,26.98,-23.1,2.7,False,80.0,72.0,1,True,- · 분기이익 +130% 급증 · 박스 5주 · 폭 18% · 완전돌파 · 주가강도 상위 20%,-
아이씨티케이,456010.KQ,KR,기술·IT,22700.0,2026-09-18,0,10.24,5.38,22600.0,22100.0,20550.0,14450.0,5.0,42.2,39950.0,False,True,True,0.44,10.46,False,39950.0,-43.2,43.2,False,78.0,68.0,6,False,"반도체 소형주 · 시총 2,686억원 · 박스 5주 · 폭 42% · 완전돌파 · 주가강도 78점",반도체
