C,A,N,S,L,I,M,n_pass,verdict,name,ticker,market,last,pivot
unknown,unknown,pass,unknown,fail,unknown,fail,1,fail,TSE2244,2244.T,JP,3721.0,3712.0
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE8418,8418.T,JP,3430.0,3307.0
fail,fail,fail,pass,pass,unknown,pass,3,fail,Karat Packaging Inc. - Common Stock,KRT,US,54.16,51.0
unknown,fail,pass,pass,pass,fail,fail,3,fail,高争民爆,002827.SZ,CN,76.59,71.8
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE9902,9902.T,JP,3250.0,3245.0
unknown,pass,pass,pass,pass,pass,fail,5,fail,TSE4417,4417.T,JP,5660.0,5060.0
unknown,unknown,pass,unknown,pass,unknown,fail,2,fail,TSE1671,1671.T,JP,6075.0,5864.0
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE2371,2371.T,JP,3805.0,3740.0
fail,fail,fail,pass,fail,unknown,pass,2,fail,"Worthington Enterprises, Inc. Common S",WOR,US,59.7,63.13
fail,pass,fail,pass,pass,pass,pass,5,fail,Vicor Corporation - Common Stock,VICR,US,283.16,232.74
pass,unknown,fail,pass,pass,unknown,pass,4,partial,Twilio Inc. Class A Common Stock,TWLO,US,290.7,266.48
unknown,fail,fail,pass,fail,unknown,fail,1,fail,康强电子,002119.SZ,CN,29.61,26.92
unknown,unknown,fail,pass,unknown,unknown,pass,2,partial,노타,486990.KQ,KR,20350.0,22550.0
unknown,fail,fail,pass,pass,unknown,fail,2,fail,TSE6597,6597.T,JP,4185.0,4050.0
unknown,unknown,fail,pass,pass,unknown,pass,3,partial,"Xometry, Inc. - Class A Common Stock",XMTR,US,105.01,100.72
unknown,unknown,fail,unknown,fail,unknown,fail,0,fail,TSE2869,2869.T,JP,3071.0,3091.0
unknown,unknown,fail,pass,fail,unknown,pass,2,fail,"Ginkgo Bioworks Holdings, Inc. Class A",DNA,US,8.58,8.27
unknown,unknown,fail,pass,fail,unknown,pass,2,fail,"IonQ, Inc. Common Stock",IONQ,US,42.54,44.43
unknown,unknown,fail,pass,fail,unknown,fail,1,fail,TSE3905,3905.T,JP,1807.0,1822.0
unknown,unknown,fail,pass,fail,unknown,pass,2,fail,Dakota Gold Corp. Common Stock,DC,US,6.64,6.49
unknown,pass,fail,pass,fail,unknown,fail,2,fail,TSE6787,6787.T,JP,23780.0,22700.0
unknown,unknown,fail,pass,fail,unknown,pass,2,fail,Quantum Computing Inc. - Common Stock,QUBT,US,9.12,9.35
unknown,fail,fail,pass,pass,unknown,fail,2,fail,TSE5367,5367.T,JP,1397.0,1450.0
unknown,fail,fail,pass,fail,pass,pass,3,fail,Twin Vee PowerCats Co. - Common Stock,VEEE,US,12.78,10.84
unknown,unknown,fail,pass,fail,unknown,pass,2,fail,"Viking Therapeutics, Inc. - Common Sto",VKTX,US,41.65,36.26
unknown,unknown,pass,pass,pass,unknown,pass,4,partial,심텍,222800.KQ,KR,149500.0,138300.0
unknown,unknown,fail,pass,fail,unknown,pass,2,fail,서울반도체,046890.KQ,KR,10520.0,10620.0
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE7180,7180.T,JP,1645.0,1649.0
fail,fail,fail,pass,fail,pass,pass,3,fail,한섬,020000.KS,KR,19740.0,18700.0
fail,fail,fail,pass,fail,pass,pass,3,fail,GameStop Corporation Common Stock,GME,US,24.2,23.11
unknown,unknown,fail,pass,pass,unknown,pass,3,partial,Absci Corporation - Common Stock,ABSI,US,10.35,10.15
pass,fail,fail,pass,pass,pass,pass,5,fail,기가비스,420770.KQ,KR,123100.0,114200.0
unknown,unknown,fail,pass,pass,unknown,pass,3,partial,"CareDx, Inc. - Common Stock",CDNA,US,61.37,55.16
unknown,unknown,fail,pass,pass,unknown,pass,3,partial,Neogen Corporation - Common Stock,NEOG,US,13.66,13.72
fail,pass,fail,pass,fail,unknown,pass,3,fail,NICE Ltd - American Depositary Shares ,NICE,US,113.63,116.03
unknown,fail,fail,pass,fail,pass,pass,3,fail,"Bakkt, Inc. Class A Common Stock",BKKT,US,8.81,9.02
unknown,unknown,fail,pass,fail,unknown,fail,1,fail,智度股份,000676.SZ,CN,6.8,7.72
unknown,fail,fail,pass,fail,fail,pass,2,fail,네오셈,253590.KQ,KR,13680.0,13150.0
unknown,fail,fail,pass,fail,pass,pass,3,fail,해성디에스,195870.KS,KR,61200.0,58800.0
fail,fail,fail,pass,fail,pass,pass,3,fail,Bullish Ordinary Shares,BLSH,US,40.11,39.56
unknown,fail,fail,pass,pass,pass,pass,4,fail,"GRAIL, Inc. - Common Stock",GRAL,US,125.21,85.49
fail,unknown,fail,pass,fail,pass,pass,3,fail,"Priority Technology Holdings, Inc. - C",PRTH,US,7.79,6.17
fail,fail,fail,pass,fail,pass,pass,3,fail,Mistras Group Inc Common Stock,MG,US,20.94,20.4
unknown,fail,fail,pass,fail,pass,pass,3,fail,루닛,328130.KQ,KR,9810.0,9490.0
unknown,pass,fail,pass,pass,unknown,fail,3,fail,广合科技,001389.SZ,CN,181.16,185.93
unknown,unknown,fail,pass,fail,unknown,fail,1,fail,中国长城,000066.SZ,CN,14.8,15.85
unknown,fail,fail,pass,fail,pass,pass,3,fail,"Sharplink, Inc. - Common Stock",SBET,US,9.81,9.49
unknown,fail,fail,pass,unknown,unknown,fail,1,fail,MONTAGE TECH,6809.HK,HK,300.0,303.0
unknown,pass,fail,pass,fail,unknown,fail,2,fail,华锡有色,600301.SS,CN,47.65,52.1
unknown,pass,fail,pass,pass,unknown,fail,3,fail,宏和科技,603256.SS,CN,152.0,153.4
unknown,fail,fail,pass,fail,pass,fail,2,fail,歌尔股份,002241.SZ,CN,23.94,24.8
pass,fail,fail,pass,fail,pass,pass,4,fail,TORM plc - Class A Common Stock,TRMD,US,34.42,37.22
unknown,fail,pass,pass,fail,fail,fail,2,fail,博通集成,603068.SS,CN,48.51,44.4
fail,fail,fail,pass,fail,fail,pass,2,fail,"Dynatrace, Inc. Common Stock",DT,US,58.51,56.27
unknown,fail,fail,pass,fail,pass,fail,2,fail,万通发展,600246.SS,CN,14.34,14.24
unknown,fail,pass,pass,fail,fail,fail,2,fail,新亚制程,002388.SZ,CN,7.76,7.95
unknown,pass,pass,pass,pass,fail,fail,4,fail,澳洋健康,002172.SZ,CN,5.42,5.81
unknown,fail,fail,pass,fail,pass,pass,3,fail,케이엠더블유,032500.KQ,KR,19560.0,19520.0
unknown,fail,pass,pass,pass,pass,fail,4,fail,TSE4933,4933.T,JP,2409.0,1681.0
unknown,fail,fail,pass,pass,fail,pass,3,fail,아이씨티케이,456010.KQ,KR,22600.0,20550.0
unknown,fail,fail,pass,fail,pass,pass,3,fail,Critical Metals Corp. - Ordinary Share,CRML,US,8.17,8.56
unknown,fail,fail,pass,pass,pass,pass,4,fail,Cybin Inc. - Common Stock,HELP,US,12.59,14.35
pass,fail,fail,pass,pass,fail,pass,4,fail,Arm Holdings plc - American Depositary,ARM,US,306.34,287.15
pass,fail,fail,pass,pass,pass,pass,5,fail,"Advanced Micro Devices, Inc. - Common ",AMD,US,629.26,559.91
fail,fail,fail,pass,fail,pass,pass,3,fail,Generac Holdlings Inc. Common Stock,GNRC,US,199.42,212.6
unknown,fail,fail,pass,pass,pass,pass,4,fail,Intel Corporation - Common Stock,INTC,US,127.39,111.37
fail,fail,fail,pass,fail,pass,pass,3,fail,"Coinbase Global, Inc. - Class A Common",COIN,US,199.21,196.21
unknown,fail,fail,pass,pass,pass,pass,4,fail,CMB.TECH NV Ordinary Shares,CMBT,US,19.16,19.97
fail,fail,fail,pass,fail,pass,pass,3,fail,Strategy Inc - Class A Common Stock,MSTR,US,161.61,154.02
